成立した２文字集合	成立した２文字単語	待ち候補文字数	待ち候補文字	成立する３文字集合	成立する３文字単語
せん	千:戦:栓:線	18	い お か く け ご し す ぞ ち て ど ふ ぶ む め よ ろ	いせん おせん かせん くせん けせん ごせん しせん すせん せぞん せちん せてん せどん せふん せぶん せむん せめん せよん せろん	繊維 汚染 河川 苦戦 世間 五千:戦後 視線 センス:扇子 先祖 センチ 先手 鮮度 付箋 セブン 専務:無線 目線 予選 世論（せろん）:線路:路線
ぜん	前（ぜん）	9	い き ご し じ ち ぶ み や	いぜん きぜん ごぜん しぜん じぜん ぜちん ぜぶん ぜみん ぜやん	以前:善意 前期 前後:午前 自然 事前 全治 全部 未然 前夜
そつ	卒	2	い し	いそつ しそつ	そいつ 素質
そと	外（そと）	2	う ふ	うそと そとふ	塗装 ソフト:ソフト［コンピューター〜］
そば	そば	3	う の や	うそば そのば そばや	相場 その場 そば屋
そふ	祖父	4	う く と ぼ	うそふ くそふ そとふ そふぼ	送付 不足 ソフト:ソフト［コンピューター〜］ 祖父母
そへ	へそ	1	い	いそへ	平素
そぼ	祖母	1	ふ	そふぼ	祖父母
そみ	みそ	2	ほ よ	そほみ そみよ	細身 よそ見
そよ	よそ	4	う お く み	うそよ おそよ くそよ そみよ	予想:要素 およそ 予測 よそ見
そら	空（そら）	3	こ ち れ	こそら そちら そられ	そこら そちら それら
そり	反り	3	う く ぶ	うそり くそり そぶり	理想 利息 素振り（そぶり）
それ	それ	2	お ら	おそれ そられ	恐れ それら
そろ	ソロ	1	い	いそろ	そろい
そん	損:村（そん）	7	い か き ぐ さ し は	いそん かそん きそん ぐそん さそん しそん そはん	依存（いそん） 簡素 既存（きそん） ソング 酸素 子孫 破損
ぞみ	溝	1	の	ぞのみ	望み
たて	立て:縦	3	し み ん	したて たてみ たてん	下手（したて） 見立て 他店
たな	棚	3	あ か ど	あたな かたな たどな	あなた かなた:田中 どなた
たに	谷	2	ま ん	たにま たにん	谷間（たにま） 他人
たね	ねた:種（たね）	1	か	かたね	高値
たは	畑（はた）	4	け ち つ ん	けたは たちは たつは たはん	畑（はたけ） 二十・二十歳（はたち）:二十歳（はたち）:二十（はたち） 多発 破綻
たば	束（たば）	3	こ ち ー	こたば たちば たばー	たばこ 立場 バター
たび	度（たび）:旅	1	じ	じたび	旅路
たふ	ふた:ふた（蓋）:蓋（ふた）	4	え つ り ん	えたふ たつふ たふり たふん	二重（ふたえ） 二つ ふたり 負担
たぶ	豚（ぶた）	5	い す ま ん ー	いたぶ すたぶ たぶま たぶん たぶー	舞台 酢豚 まぶた 多分 タブー
たま	たま:玉（たま）	6	あ ご し に ぶ り	あたま ごたま したま たにま たぶま たまり	頭（あたま） 卵（たまご） 真下 谷間（たにま） まぶた たまり
ため	ため	3	か し み	かため しため たみめ	固め:高め ためし:試し 見た目
たら	たら	2	か こ	かたら こたら	宝 たらこ
たわ	綿（わた）	2	い し	いたわ したわ	対話 私（わたし）
たん	単	17	い う か き く ご さ じ て と に は ふ ぶ ぼ ぽ ー	いたん うたん かたん きたん くたん ごたん さたん じたん たてん たとん たにん たはん たふん たぶん たぼん たぽん たんー	単位 タウン 加担:単価 短期:短気 タンク 単語 サンタ 時短［労働時間短縮］ 他店 途端 他人 破綻 負担 多分 ぼたん:ボタン 担保 ターン
だは	肌（はだ）	6	か ぎ し じ す び	かだは ぎだは しだは じだは すだは だはび	裸 肌着 はだし 地肌 素肌 美肌
だむ	無駄	1	ん	だむん	無断
だめ	駄目	3	か さ ま	かだめ さだめ だまめ	めだか 定め 目玉
だれ	だれ	6	か な み も よ ん	かだれ だなれ だみれ だもれ だよれ だれん	だれか 雪崩（なだれ） 乱れ だれも よだれ 連打
だん	暖:段	16	あ う ご さ し じ す ち な ね ぱ ふ む ゆ よ れ	あだん うだん ごだん さだん しだん じだん すだん だちん だなん だねん だぱん だふん だむん だゆん だよん だれん	安打 ダウン 団子 段差 打診:男子（だんし） 男児 ダンス 団地 旦那 値段 パンダ 普段 無断 油断 余談 連打
ちち	父	114	あき あっ あら あれ あん いい いか いが いき いけ いご いじ いせ いた いだ いっ いど いの いは いば いぶ いへ いめ いや いり いん うし うす うそ うつ うね うの うほ うみ うゅ うょ うわ うん えん おく おど おば おめ おゃ おん かく かた かば かめ から かん きし きむ きも きん くこ くび くゃ くょ ぐて ぐで げん ここ こっ こも こら こー さっ さん しっ しみ しょ じに じん ずー せっ せん ぜん そだ そっ そら たっ たは たば たみ だん ぢみ っど っぴ っぷ っま っり ても でん どに どら なみ にひ にん ばも ばん ぱん ひも ぴん べん みよ みん むゃ むー めゃ ゃん やん らん りー	あきち あちっ あちら あちれ あちん いいち いかち いがち いきち いけち いごち いじち いせち いたち いだち いちっ いちど いちの いちは いちば いちぶ いちへ いちめ いちや いちり いちん うしち うすち うそち うちつ うちね うちの うちほ うちみ うちゅ うちょ うちわ うちん えちん おくち おちど おちば おちめ おちゃ おちん かくち かたち かちば かちめ かちら かちん きしち きちむ きちも きちん くこち くちび くちゃ くちょ ぐちて ぐちで げちん ここち こちっ こちも こちら こちー さちっ さちん しちっ しちみ しちょ じちに じちん ずちー せちっ せちん ぜちん そだち そちっ そちら たちっ たちは たちば たちみ だちん ちぢみ ちっど ちっぴ ちっぷ ちっま ちっり ちても ちでん ちどに ちどら ちなみ ちにひ ちにん ちばも ちばん ちぱん ちひも ちぴん ちべん ちみよ ちみん ちむゃ ちむー ちめゃ ちゃん ちやん ちらん ちりー	空き地:空き地・明き地 あっち あちら 荒れ地 治安 一位 誓い 違い 地域 地形（ちけい） いちご 一時（いちじ） 生地:知性:聖地 地帯:遅滞 大地 一致 一度 命（いのち） 配置 市場（いちば） 一部 平地 地名 一夜（いちや） 一理 インチ 仕打ち 数値 地層:装置 通知 値打ち 知能:農地 地方（ちほう）:放置 身内（みうち） 中（ちゅう）:注 兆:庁:町（ちょう）:腸:長（ちょう） うちわ:内輪（うちわ） うんち 遅延 奥地 落ち度 落ち葉 落ち目 お茶 音痴:音痴［機械〜・方向〜］ 各地:知覚:近く 形（かたち） 近場 勝ち目 力（ちから） 完治 敷地:知識 キムチ 気持ち チキン 告知:遅刻 備蓄 着 直（ちょく） 手口 出口 現地 心地 こっち 子持ち こちら コーチ 察知 産地 湿地 七味 処置 日時 知人 チーズ 設置 センチ 全治 育ち そっち そちら タッチ 二十・二十歳（はたち）:二十歳（はたち）:二十（はたち） 立場 立ち見 団地 縮み どっち ピッチ チップ［ＩＣ〜］ マッチ 立地 手持ち 電池 土日 どちら ちなみ 日にち 認知 持ち場 番地 パンチ 日持ち ピンチ ベンチ 夜道 ミンチ:珍味 むちゃ チーム めちゃ ちゃん 家賃 ランチ リーチ
ちつ	土（つち）	1	う	うちつ	通知
ちに	日（にち）	4	じ ど ひ ん	じちに ちどに ちにひ ちにん	日時 土日 日にち 認知
ちの	後（のち）	2	い う	いちの うちの	命（いのち） 知能:農地
ちは	八（はち）	2	い た	いちは たちは	配置 二十・二十歳（はたち）:二十歳（はたち）:二十（はたち）
ちま	待ち:町（まち）:街（まち）	1	っ	ちっま	マッチ
ちみ	地味:未知:道（みち）	7	う し た ぢ な よ ん	うちみ しちみ たちみ ちぢみ ちなみ ちみよ ちみん	身内（みうち） 七味 立ち見 縮み ちなみ 夜道 ミンチ:珍味
ちむ	無知	3	き ゃ ー	きちむ ちむゃ ちむー	キムチ むちゃ チーム
ちも	もち:持ち［〜がよい］:持ち［土地〜・自分〜］	5	き こ て ば ひ	きちも こちも ちても ちばも ちひも	気持ち 子持ち 手持ち 持ち場 日持ち
ちゃ	茶	5	お く む め ん	おちゃ くちゃ ちむゃ ちめゃ ちゃん	お茶 着 むちゃ めちゃ ちゃん
ちょ	著	3	う く し	うちょ くちょ しちょ	兆:庁:町（ちょう）:腸:長（ちょう） 直（ちょく） 処置
ちよ	予知:余地	1	み	ちみよ	夜道
ちり	地理	3	い っ ー	いちり ちっり ちりー	一理 立地 リーチ
つつ	筒	155	あい あき あぎ あさ あで あみ あめ あー いか いき いく いけ いさ いそ いた い いで いど いね いび いぶ いゆ うか うき うく うご うし うず うせ うち うて うふ うり うろ うわ えく えた おか おさ おは おや おゆ おり かし かじ かせ かね かは かふ かぶ かみ かも かれ がく がご がし がっ がに がは きし きじ きせ きぜ きづ きね きひ きま きよ きり きれ ぎけ ぎじ くべ くり けし けに けば けひ けふ けほ けぼ けろ げま こし こた こぶ こべ こり ごじ さし させ さば さべ さま さよ ざせ ざむ しし しじ しせ しそ した して しど しは しぶ しほ しま しゃ しり しわ しー じじ じだ じひ じむ じり じわ すー せび たは たふ だり っな っみ っむ っや っよ み づり とひ とめ どみ なば なま なみ にみ にも ねび ねよ はふ はめ はれ ぱん ぱー ひま ひみ びよ ぶり ぶー まみ まり みよ もり るー	あいつ あきつ あぎつ あさつ あつで あつみ あつめ あつー いかつ いきつ いくつ いけつ いさつ いそつ いたつ いつつ いつで いつど いつね いつび いつぶ いつゆ うかつ うきつ うくつ うごつ うしつ うずつ うせつ うちつ うつて うつふ うつり うつろ うつわ えくつ えたつ おかつ おさつ おつは おつや おつゆ おつり かしつ かじつ かせつ かつね かつは かつふ かつぶ かつみ かつも かつれ がくつ がごつ がしつ がっつ がつに がつは きしつ きじつ きせつ きぜつ きつづ きつね きつひ きつま きつよ きつり きつれ ぎけつ ぎじつ くつべ くつり けしつ けつに けつば けつひ けつふ けつほ けつぼ けつろ げつま こしつ こたつ こつぶ こつべ こつり ごじつ さしつ させつ さつば さつべ さつま さつよ ざせつ ざつむ ししつ しじつ しせつ しそつ したつ しつて しつど しつは しつぶ しつほ しつま しつゃ しつり しつわ しつー じじつ じだつ じつひ じつむ じつり じつわ すつー せつび たつは たつふ だつり っつな っつみ っつむ っつや っつよ つつみ つづり つとひ つとめ つどみ つなば つなま つなみ つにみ つにも つねび つねよ つはふ つはめ つはれ つぱん つぱー つひま つひみ つびよ つぶり つぶー つまみ つまり つみよ つもり つるー	あいつ:威圧 気圧 厚着 厚さ:暑さ:熱さ 厚手 厚み 厚め ツアー いつか:つかい（使・遣）:五日（いつか）:使い:追加 追記 いくつ 決意 殺意 そいつ タイツ 五つ ついで ドイツ:集い 熱意 いびつ 異物 唯一（ゆいつ） 通貨:通過 通気 苦痛 都合 写し 頭痛 右折 通知 打つ手 不通:普通 映り 通路 器（うつわ）:通話 机 伝え かつお お札 お初 おやつ おつゆ お釣り 加湿:過失 果実:活字 仮設:仮説 加熱 二十日（はつか） 二日（ふつか） 部活 つかみ 貨物 疲れ 九月 五月 四月:画質 ガッツ 二月 発芽 気質 期日 季節 気絶 続き きつね:寝付き 月日（つきひ） 期末 強気 規律:規律・紀律:起立 亀裂 決議 実技 区別 つくり（作・造）:作り:理屈:造り しつけ 煮付け バケツ 秘訣 不潔 補欠 墓穴 結露 まつげ 個室:固執（こしつ） こたつ 小粒 個別 孤立 後日 視察 左折 翼（つばさ） 差別 摩擦 強さ 挫折 雑務 脂質:資質 自室 施設 素質 多湿 私鉄 湿度 始発 私物:部室 保湿 始末 シャツ 市立（しりつ）:私立（しりつ） 和室 シーツ 事実 脱字 自筆 無実 自律:自立 実話 スーツ 設備 多発 二つ 離脱 ナッツ 三つ 六つ 八つ 四つ 包み つづり 一つ 勤め 密度 夏場 真夏 津波 積み荷 荷物 微熱 余熱 不発 破滅 破裂 パンツ パーツ 飛沫 秘密 強火（つよび） 物理 ブーツ つまみ 祭り:詰まり 強み 積もり ルーツ
つて	つて:鉄	2	う し	うつて しつて	打つ手 私鉄
つど	都度	3	い し み	いつど しつど つどみ	ドイツ:集い 湿度 密度
つな	ツナ:夏（なつ）	4	っ ば ま み	っつな つなば つなま つなみ	ナッツ 夏場 真夏 津波
つね	常:熱	5	い か き び よ	いつね かつね きつね つねび つねよ	熱意 加熱 きつね:寝付き 微熱 余熱
つは	初（はつ）:発:発（はつ）	8	お か が し た ふ め れ	おつは かつは がつは しつは たつは つはふ つはめ つはれ	お初 二十日（はつか） 発芽 始発 多発 不発 破滅 破裂
つば	ばつ［×］:罰（ばつ）	3	け さ な	けつば さつば つなば	バケツ 翼（つばさ） 夏場
つぶ	物（ぶつ）:粒（つぶ）	6	い か こ し り ー	いつぶ かつぶ こつぶ しつぶ つぶり つぶー	異物 部活 小粒 私物:部室 物理 ブーツ
つべ	別	3	く こ さ	くつべ こつべ さつべ	区別 個別 差別
つぼ	つぼ	1	け	けつぼ	墓穴
つま	妻（つま）:末（まつ）	8	き げ さ し な ひ み り	きつま げつま さつま しつま つなま つひま つまみ つまり	期末 まつげ 摩擦 始末 真夏 飛沫 つまみ 祭り:詰まり
つみ	みつ:みつ（蜜）:罪（つみ）:蜜（みつ）	10	あ か っ つ ど な に ひ ま よ	あつみ かつみ っつみ つつみ つどみ つなみ つにみ つひみ つまみ つみよ	厚み つかみ 三つ 包み 密度 津波 積み荷 秘密 つまみ 強み
つむ	六つ	3	ざ じ っ	ざつむ じつむ っつむ	雑務 無実 六つ
つめ	つめ:詰め	3	あ と は	あつめ つとめ つはめ	厚め 勤め 破滅
つや	つや:やつ:八つ	2	お っ	おつや っつや	おやつ 八つ
つゆ	梅雨（つゆ）:露（つゆ）	2	い お	いつゆ おつゆ	唯一（ゆいつ） おつゆ
つり	率:釣り	12	う お き く こ し じ だ づ ぶ ま も	うつり おつり きつり くつり こつり しつり じつり だつり つづり つぶり つまり つもり	映り お釣り 規律:規律・紀律:起立 つくり（作・造）:作り:理屈:造り 孤立 市立（しりつ）:私立（しりつ） 自律:自立 離脱 つづり 物理 祭り:詰まり 積もり
つれ	列:連れ	3	か き は	かつれ きつれ つはれ	疲れ 亀裂 破裂
てま	手間	2	え ー	えてま てまー	手前（てまえ） テーマ
てら	寺（てら）	2	が ぶ	がてら てぶら	手柄 手ぶら
てれ	照れ	3	い び や	いてれ てびれ てやれ	手入れ テレビ 照れ屋
てん	天（てん）:点	14	い う か き く ぐ し じ せ た ぷ ほ ぽ り	いてん うてん かてん きてん くてん ぐてん してん じてん せてん たてん てぷん てほん てぽん てりん	移転:転移 雨天 天下:添加:点火:転嫁 天気:機転:起点:転機 句点 軍手 天使:始点:支店:支点:視点 事典:展示:時点:辞典 先手 他店 添付:添付・添附 手本:補填 テンポ:店舗 利点
でま	デマ	1	え	えでま	出前
でー	デー	2	た と	たでー でとー	データ デート
とは	はと	1	ー	とはー	ハート
とひ	ひと:人（ひと）	10	う け ご っ つ で み め り ん	うとひ けとひ ごとひ っとひ つとひ でとひ とひみ とひめ とひり とひん	逃避 人気（ひとけ） 日ごと ヒット 一つ 人出:人手:人手［〜に渡る］ ひとみ 一目（ひとめ）:人目 ひとり ヒント
とび	跳び	1	ら	とびら	扉
とほ	徒歩	2	う け	うとほ けとほ	途方 仏（ほとけ）
とま	的（まと）	5	っ と め も り	っとま ととま とまめ とまも とまり	マット トマト まとめ まとも:まとも［〜に］ 泊まり
とみ	富	6	す な ひ め ろ ん	すとみ となみ とひみ とみめ とみろ とみん	ミスト 港（みなと） ひとみ 認め とろみ 都民
とめ	止め	7	つ ど ひ ふ ま み も	つとめ とどめ とひめ とふめ とまめ とみめ とめも	勤め とどめ 一目（ひとめ）:人目 太め まとめ 認め 求め:目もと
とも	もと（元・本・基）:下（もと）:元（もと）:共（とも）:友:本（もと）:素（もと）	5	じ て ね ま め	じとも てとも とねも とまも とめも	地もと 手もと 根元（ねもと） まとも:まとも［〜に］ 求め:目もと
とら	寅（とら）	3	い す び	いとら すとら とびら	トライ:ライト ラスト 扉
とり	取り:鳥（とり）	11	い う え お こ す な ひ ふ ま ゆ	いとり うとり えとり おとり ことり すとり となり とひり とふり とまり とゆり	鳥居 離島 取り柄 おとり:トリオ:通り:通り［〜がよい・〜が悪い］ 小鳥 リスト 隣 ひとり リフト 泊まり ゆとり
どの	のど	1	う	うどの	濃度
どほ	程（ほど）	1	う	うどほ	歩道
どま	窓	4	い べ ら り	いどま どべま どまら どまり	毎度 窓辺 ドラマ 間取り
どめ	めど	2	と は	とどめ どはめ	とどめ 歯止め
どや	宿（やど）	1	け	けどや	やけど
どれ	どれ	3	か す っ	かどれ すどれ っどれ	どれか ドレス レッド
どろ	泥	2	う ー	うどろ どろー	道路 ドロー:ロード
なに	何（なに）	1	か	かなに	何（なに）か
なは	花（はな）:鼻	7	お し ぢ び み め れ	おなは しなは ぢなは なはび なはみ なはめ なはれ	お花 話（はなし） 鼻血 花火 花見 目鼻 離れ
なべ	なべ	1	ど	どなべ	土なべ
なま	生（なま）:生（なま）［〜の声］	7	え か け つ び り ー	えなま かなま けなま つなま なびま なまり なまー	名前 仲間 怠け 真夏 学び なまり マナー
なみ	並（なみ）:波:皆	11	か じ だ ち つ と は み や り ん	かなみ じなみ だなみ ちなみ つなみ となみ なはみ なみみ なみや なみり なみん	中身:中身・中味 なじみ 涙 ちなみ 津波 港（みなと） 花見 南（みなみ） 悩み 身なり みんな
なら	なら	4	お し び ん	おなら しなら なびら ならん	おなら ならし 並び 何ら
なれ	なれ:慣れ	5	が だ は ば ふ	がなれ だなれ なはれ なばれ なふれ	流れ 雪崩（なだれ） 離れ 場慣れ 不慣れ
なん	何（なん）:難	11	い お か こ じ だ ど ひ ぶ み ら	いなん おなん かなん こなん じなん だなん どなん なひん なぶん なみん ならん	難易 女（おんな） 何（なん）か 何個 次男:次男・二男 旦那 何度:難度 避難:非難 南部:無難 みんな 何ら
にら	にら	1	ば	にばら	バニラ
にわ	庭（にわ）	1	か	かにわ	にわか
にん	人（にん）	14	い か き ご じ た ち ね ひ ふ ぷ ほ ま む	いにん かにん きにん ごにん じにん たにん ちにん にねん にひん にふん にぷん にほん にまん にむん	任意:委任 認可 人気:任期 誤認 辞任 他人 認知 二年 否認 赴任 妊婦 日本（にほん） 二万（にまん） 任務
ぬり	塗り	1	え	えぬり	塗り絵
ねは	羽・羽根（はね）:羽（はね）	2	や ん	ねはや ねはん	早寝 半値
ねば	ばね	1	り	ねばり	粘り
ねふ	ふね（船・舟）:舟（ふね）:船（ふね）	1	だ	だねふ	値札
ねほ	骨（ほね）	1	ん	ねほん	本音
ねま	まね:マネ	3	き し ー	きねま しねま ねまー	招き シネマ マネー
ねむ	旨（むね）:胸	4	け り ん ー	けねむ ねむり ねむん ねむー	眠気 眠り 無念 ネーム
ねや	屋根	2	す は	すねや ねはや	安値 早寝
ねん	年（ねん）	16	お か が き け ざ し だ ど に は ぴ ほ む よ り	おねん かねん がねん きねん けねん ざねん しねん だねん どねん にねん ねはん ねぴん ねほん ねむん ねよん ねりん	ネオン 可燃 年賀 年季:年期:記念 懸念 捻挫 年始 値段 年度 二年 半値 燃費 本音 無念 四年 年利
のび	のび（伸・延）:伸び	2	せ る	せのび のびる	背伸び のびる
のみ	のみ:飲み	7	う こ ぞ た や ゆ り	うのみ このみ ぞのみ たのみ のみや のみゆ のみり	うのみ:未納 好み 望み 頼み 飲み屋 湯飲み 実り
のも	物（もの）:者（もの）	5	え き こ に ひ	えのも きのも このも にのも のひも	獲物 着物 小物 煮物 干物（ひもの）
のり	のり:乗り	7	い う き こ ば ぼ み	いのり うのり きのり このり のばり のぼり のみり	祈り 脳裏 乗り気 残り 乗り場 上（のぼ）り 実り
のー	ノー	1	と	とのー	ノート
はは	母	87	あく いか いき いけ いご いし いせ いち いて いふ いら いわ いん うす おつ おな かく かせ かだ かつ かり かれ がき がつ きく きぐ きけ きっ きん ぎだ くし くび くよ けた けん げみ こび こん ごし ごん さみ さや さん しだ しつ しな しや しら しり しん じだ じめ すだ ずみ ずれ そん たち たつ たん だび ぢな っぱ つふ つめ つれ でや でん とー どめ なび なみ なめ なれ ねや ねん のら ぱん ひん ふー ぶー へん べま まれ めや もん やり らん	あくは いかは いきは いけは いごは いしは いせは いちは いては いはふ いはら いはわ いはん うすは おつは おなは かくは かせは かだは かつは かはり かはれ がきは がつは きくは きぐは きけは きっは きはん ぎだは くしは くはび くはよ けたは けはん げはみ こはび こはん ごしは ごはん さはみ さはや さはん しだは しつは しなは しはや しはら しはり しはん じだは じはめ すだは ずはみ ずはれ そはん たちは たつは たはん だはび ぢなは っはぱ つはふ つはめ つはれ ではや ではん とはー どはめ なはび なはみ なはめ なはれ ねはや ねはん のはら はぱん はひん はふー はぶー はへん はべま はまれ はめや はもん はやり はらん	把握 破壊 廃棄 気配 背後 廃止:支配 制覇:派生 配置 手配 配布 払い ハワイ 範囲:違反 ハウス:端数 お初 お花 破格 博士（はかせ） 裸 二十日（はつか） はかり（計・量・測）:測り:計り 枯れ葉 はがき 発芽 気迫 歯茎 吐き気 発揮 半期 肌着 白紙（はくし） 美白 余白 畑（はたけ） 派遣 励み 運び 判子 はしご 御飯（ごはん） はさみ（鋏） はやさ（早・速）:早さ:速さ 破産 はだし 始発 話（はなし） 林（はやし） 柱（はしら） 走り 市販 地肌 はじめ（初・始）:初め:始め 素肌 弾み 外れ 破損 二十・二十歳（はたち）:二十歳（はたち）:二十（はたち） 多発 破綻 美肌 鼻血 葉っぱ 不発 破滅 破裂 早出 ハンデ ハート 歯止め 花火 花見 目鼻 離れ 早寝 半値 野原 半端 批判 ハーフ ハーブ 破片 浜辺 晴れ間 はやめ（早・速）:早め:速め 模範 はやり 波乱:波瀾・波乱
はま	浜	2	べ れ	はべま はまれ	浜辺 晴れ間
はめ	羽目	5	じ つ ど な や	じはめ つはめ どはめ なはめ はめや	はじめ（初・始）:初め:始め 破滅 歯止め 目鼻 はやめ（早・速）:早め:速め
はら	腹	4	い し の ん	いはら しはら のはら はらん	払い 柱（はしら） 野原 波乱:波瀾・波乱
はり	張り:針（はり）	3	か し や	かはり しはり はやり	はかり（計・量・測）:測り:計り 走り はやり
はれ	はれ［〜が引く］:晴れ	5	か ず つ な ま	かはれ ずはれ つはれ なはれ はまれ	枯れ葉 外れ 破裂 離れ 晴れ間
はん	半:班	16	い き け こ ご さ し そ た で ね ぱ ひ へ も ら	いはん きはん けはん こはん ごはん さはん しはん そはん たはん ではん ねはん はぱん はひん はへん はもん はらん	範囲:違反 半期 派遣 判子 御飯（ごはん） 破産 市販 破損 破綻 ハンデ 半値 半端 批判 破片 模範 波乱:波瀾・波乱
ばら	ばら	2	じ に	じばら にばら	自腹 バニラ
ばん	晩:番	8	か き げ ち で ど ほ め	かばん きばん げばん ちばん でばん どばん ばほん ばめん	かばん 基盤 現場（げんば） 番地 出番 バンド 本場 場面
ばー	バー	3	か た れ	かばー たばー ばれー	カバー バター レバー
ぱぱ	パパ	24	いす いぷ かん くっ くん くー すた ずる たー だん ちん っと っは つん つー でん とー ねる はん まー やん りん れん わー	いすぱ いぱぷ かぱん くっぱ くぱん くぱー すたぱ ずぱる たぱー だぱん ちぱん っとぱ っはぱ つぱん つぱー でぱん とぱー ねぱる はぱん ぱまー ぱやん ぱりん ぱれん ぱわー	スパイ パイプ 寒波 パック:パック［〜旅行］ パンク パーク パスタ パズル パター パンダ パンチ 突破 葉っぱ パンツ パーツ 電波 パート パネル 半端 パーマ パン屋 リンパ 連覇 パワー
ぱん	パン	10	か く だ ち つ で は や り れ	かぱん くぱん だぱん ちぱん つぱん でぱん はぱん ぱやん ぱりん ぱれん	寒波 パンク パンダ パンチ パンツ 電波 半端 パン屋 リンパ 連覇
ひび	ひび:日日（ひび）	2	き ん	きひび ひびん	響き 備品
ひふ	皮膚	1	か	かひふ	皮膚科
ひま	暇（ひま）:麻痺	5	ご つ る ろ ん	ごひま つひま ひまる ひまろ ひまん	ひ孫 飛沫 昼間（ひるま）:真昼 広間 肥満
ひも	ひも	3	く ち の	くひも ちひも のひも	黙秘 日持ち 干物（ひもの）
ひる	ひる:昼	4	あ お ね ま	あひる おひる ねひる ひまる	あひる:ある日 お昼 昼寝 昼間（ひるま）:真昼
ひれ	ひれ	2	い ぐ	いひれ ぐひれ	比例 日暮れ
ひん	品（ひん）	11	か が き と ど な に は び ぶ ま	かひん がひん きひん とひん どひん なひん にひん はひん ひびん ひぶん ひまん	悲観 悲願 気品 ヒント 頻度 避難:非難 否認 批判 備品 部品 肥満
びふ	不備	1	ー	びふー	ビーフ
びゆ	指	2	こ わ	こびゆ びゆわ	小指 指輪
びよ	予備	3	う つ な	うびよ つびよ なびよ	曜日:美容 強火（つよび） 呼び名
びる	ビル	2	の ー	のびる びるー	のびる ビール
びん	便（びん）:瓶（びん）	6	え か が こ じ ひ	えびん かびん がびん こびん じびん ひびん	鼻炎 完備 美顔 コンビ 美人 備品
ぴん	ピン	7	く さ し ち と ね べ	くぴん さぴん しぴん ちぴん とぴん ねぴん ぴべん	ピンク 賛否 神秘 ピンチ ピント 燃費 便秘
ふぼ	父母（ふぼ）	1	そ	そふぼ	祖父母
ふみ	ふみ（文・書）	4	う か く ん	うふみ かふみ くふみ ふみん	風味 深み 含み 不眠
ふゆ	冬	3	ぎ ば ま	ぎふゆ ばふゆ ふまゆ	冬着 冬場 真冬
ふよ	付与	2	う け	うふよ けふよ	不用:不要:扶養 夜更け
ふら	ラフ	3	い ぐ し	いふら ぐふら しふら	フライ:ライフ グラフ しらふ
ふり	不利:振り:降り	4	せ た と ま	せふり たふり とふり ふまり	せりふ ふたり リフト フリマ
ふれ	触れ	2	と な	とふれ なふれ	レフト 不慣れ
ふろ	ふろ	4	あ お く ば	あふろ おふろ くふろ ばふろ	フロア おふろ 付録:付録・附録:復路:袋（ふくろ） ふろ場
ふん	分（ふん）	15	あ う か き け し じ せ た だ と に べ ま み	あふん うふん かふん きふん けふん しふん じふん せふん たふん だふん とふん にふん ふべん ふまん ふみん	不安 不運 噴火:花粉 ふきん:付近:付近・附近:奮起 府県 不信:不審:不振 夫人:婦人 付箋 負担 普段 布団 赴任 不便 不満 不眠
ぶら	ラブ	5	あ い く し て	あぶら いぶら くぶら しぶら てぶら	あぶら（油・脂）:油（あぶら）:脂（あぶら） ライブ クラブ ブラシ 手ぶら
ぶり	ぶり	6	こ そ だ つ み ん	こぶり そぶり だぶり つぶり ぶみり ぶりん	小降り 素振り（そぶり） ダブり 物理 身振り 分離
ぶん	分（ぶん）:分（ぶん）［五〜の一］:文（ぶん）	20	い か き く ぐ こ じ せ ぜ た な ひ ぶ ほ ぼ み も や よ り	いぶん かぶん きぶん くぶん ぐぶん こぶん じぶん せぶん ぜぶん たぶん なぶん ひぶん ぶぶん ぶほん ぶぼん ぶみん ぶもん ぶやん ぶよん ぶりん	部員 幹部:文化 分岐:気分 区分 文具 子分:文庫:昆布（こんぶ） 自分 セブン 全部 多分 南部:無難 部品 部分 本部 分母 身分 部門 分野:夜分 余分 分離
ぷろ	プロ	1	ー	ぷろー	ロープ
へや	部屋	2	い ぎ	いへや ぎへや	平野 部屋着
へん	編:編・篇:辺（へん）	4	い か じ は	いへん かへん じへん はへん	変異:異変 変化 返事 破片
べる	ベル	3	と ら れ	とべる べらる べるれ	ベルト ラベル レベル
べん	便:弁	5	ざ ち ぴ ふ り	ざべん ちべん ぴべん ふべん べりん	便座 ベンチ 便秘 不便 便利:利便
ぺん	ペン	1	き	きぺん	ペンキ
ほん	本（ほん）	16	い え お か き け し ぞ て に ね ば ぶ ま み や	いほん えほん おほん かほん きほん けほん しほん ぞほん てほん にほん ねほん ばほん ぶほん ほまん ほみん ほやん	本意 絵本 保温 保管 基本 保健:保険 資本 保存 手本:補填 日本（にほん） 本音 本場 本部 ほんま 見本 本屋
ぼん	盆	6	お き ず た ぶ り	おぼん きぼん ずぼん たぼん ぶぼん ぼりん	お盆 募金 ズボン ぼたん:ボタン 分母 リボン
